State,IMG_Url
Gujarat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYTt3qrlds0sfaL9B-SAxMAUnGPP88YZn6UQ&s
Maharashtra,https://img.freepik.com/premium-vector/vector-illustration-maharashtra-map-with-people-silhouette-transparent-background_181203-30129.jpg
Madhya Pradesh,https://pbs.twimg.com/media/Gfc5f3JbAAAL9q9.png
Rajasthan,https://mir-s3-cdn-cf.behance.net/projects/404/3575a881081537.Y3JvcCwxNTg2LDEyNDAsMzg0LDYy.jpg
West Bengal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS9g2vWQDmuSeHVZEvrHnSTrmVzHptjr9RSn0DBNSGhev4oaUJc8tWLELjEiqbF2mqBwU&usqp=CAU
Karnataka,https://blogs.nammabengaluru.rocks/wp-content/uploads/2022/10/cropped-cover_01.jpg
Jammu and Kashmir,https://e7.pngegg.com/pngimages/681/55/png-clipart-jammu-and-kashmir-peoples-democratic-party-jammu-and-kashmir-peoples-democratic-party-article-370-of-the-constitution-of-india-article-35a-of-the-constitution-of-india-grass-india-thumbnail.png
Tamil Nadu,https://p7.hiclipart.com/preview/659/309/96/thanjavur-velankanni-tamils-map-tamil-thumbnail.jpg
Uttar Pradesh,https://startinup.up.gov.in/wp-content/uploads/2023/01/up_map_final.png
Bihar,https://bstdc.bihar.gov.in/images/bihar.jpg
Kerala ,https://static.vecteezy.com/system/resources/previews/040/470/984/non_2x/traditional-activity-collage-of-kerala-with-map-vector.jpg
Punjab,https://e7.pngegg.com/pngimages/265/3/png-clipart-batala-majha-malwa-chandigarh-punjab-punjab-logo-map.png
Haryana,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Language_Map_of_Haryana_%282011_Census%29.svg/250px-Language_Map_of_Haryana_%282011_Census%29.svg.png
Himachal Pradesh,https://i.pinimg.com/736x/5e/5d/26/5e5d2656cdf129383578bb3f8b7ff130.jpg
Sikkim,https://media.istockphoto.com/id/1413738051/vector/national-map-of-sikkim-sikkim-map-vector-illustration-vector-of-sikkim-map.jpg?s=612x612&w=0&k=20&c=W8_mk6V_NhXlypV4QJzQFLuSGi-1vlXkoriotLY4nWY=
Goa,https://img.freepik.com/premium-vector/goa-map-with-beach-text-premium-vector-illustration_629132-585.jpg
Nagaland,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg9P4pc-2xvQy9d0HyWX7_gu7CzY-gZSvaeR28n_lzjXFt3hr3-yVjnWdymIlN7NaXdSKIKhG6SyP_7i5_n-_crw52Kk_DUUVPDsX3t31DXI9Cad8Rsh2X6SySn444c7SjYbnuNAgpsGUw/s1600/map.jpg
Andhra Pradesh,https://icon2.cleanpng.com/20180802/pif/5b3a3ddfd7b740783d413e2b6ef693d6.webp
Delhi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs5XbkBJQjWH67D4r2xyKxne9DJaS9foSLBg&s
